iter	Passed	Remaining
0	184	18284
1	193	9491
2	203	6569
3	211	5086
4	220	4183
5	228	3582
6	237	3149
7	245	2821
8	254	2572
9	263	2373
10	284	2303
11	293	2152
12	302	2025
13	311	1914
14	320	1816
15	329	1730
16	338	1651
17	347	1583
18	356	1519
19	365	1460
20	373	1406
21	382	1356
22	391	1310
23	399	1264
24	407	1223
25	416	1185
26	424	1148
27	433	1113
28	441	1081
29	449	1049
30	458	1020
31	468	996
32	477	969
33	499	969
34	507	943
35	516	917
36	524	893
37	532	869
38	541	846
39	549	823
40	555	799
41	561	774
42	566	751
43	572	728
44	577	706
45	583	684
46	588	663
47	593	643
48	599	623
49	604	604
50	610	586
51	615	568
52	621	550
53	626	533
54	631	516
55	637	500
56	642	484
57	647	469
58	653	453
59	658	439
60	663	424
61	669	410
62	687	403
63	702	395
64	707	381
65	717	369
66	722	356
67	728	342
68	734	329
69	739	317
70	744	304
71	750	291
72	763	282
73	768	270
74	774	258
75	779	246
76	785	234
77	790	223
78	796	211
79	802	200
80	807	189
81	813	178
82	819	167
83	824	157
84	830	146
85	835	136
86	841	125
87	846	115
88	850	105
89	855	95
90	861	85
91	867	75
92	872	65
93	878	56
94	884	46
95	889	37
96	895	27
97	900	18
98	907	9
99	912	0
